name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Dead Alive,R,Comedy,1992,"February 12, 1993 (United States)",7.5,93000.0,Peter Jackson,Stephen Sinclair,Timothy Balme,New Zealand,3000000.0,242623.0,WingNut Films,104.0
Barcelona,PG-13,Comedy,1994,"July 29, 1994 (United States)",7.0,5800.0,Whit Stillman,Whit Stillman,Taylor Nichols,United States,3200000.0,7266973.0,Barcelona Films,101.0
Gully Boy,Not Rated,Drama,2019,"February 14, 2019 (United States)",8.0,34000.0,Zoya Akhtar,Zoya Akhtar,Vijay Varma,India,,28141995.0,Excel Entertainment,154.0
The Octagon,R,Action,1980,"August 15, 1980 (United States)",5.1,5200.0,Eric Karson,Leigh Chapman,Chuck Norris,United States,4000000.0,18971000.0,American Cinema Productions,103.0
"Oslo, August 31st",Not Rated,Drama,2011,"August 31, 2011 (Norway)",7.6,21000.0,Joachim Trier,Pierre Drieu La Rochelle,Anders Danielsen Lie,Norway,,1470679.0,Motlys,95.0
Ned Kelly,R,Action,2003,"March 26, 2004 (United States)",6.5,26000.0,Gregor Jordan,Robert Drewe,Heath Ledger,Australia,,6585516.0,Australian Film Finance Corporation (AFFC),110.0
My Stepmother Is an Alien,PG-13,Comedy,1988,"December 9, 1988 (United States)",5.4,25000.0,Richard Benjamin,Jerico Stone,Dan Aykroyd,United States,20000000.0,13854000.0,Weintraub Entertainment Group,105.0
A Nightmare on Elm Street 3: Dream Warriors,R,Fantasy,1987,"February 27, 1987 (United States)",6.6,73000.0,Chuck Russell,Wes Craven,Heather Langenkamp,United States,4500000.0,44793222.0,New Line Cinema,96.0
From Beyond,R,Horror,1986,"October 24, 1986 (United States)",6.7,24000.0,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,United States,4500000.0,1261000.0,Empire Pictures,85.0
The Comebacks,PG-13,Comedy,2007,"October 19, 2007 (United States)",4.3,11000.0,Tom Brady,Ed Yeager,David Koechner,United States,20000000.0,13539154.0,Fox Atomic,84.0
Criminal,R,Action,2016,"April 15, 2016 (United States)",6.3,62000.0,Ariel Vromen,Douglas Cook,Kevin Costner,United States,31500000.0,38803993.0,Summit Entertainment,113.0
Presumed Innocent,R,Mystery,1990,"July 27, 1990 (United States)",6.9,39000.0,Alan J. Pakula,Scott Turow,Harrison Ford,United States,22000000.0,221303188.0,Warner Bros.,127.0
The Scent of Green Papaya,Not Rated,Drama,1993,"January 28, 1994 (United States)",7.4,8300.0,Anh Hung Tran,Anh Hung Tran,Nu Yên-Khê Tran,Vietnam,,1700992.0,Les Productions Lazennec,104.0
Ray,PG-13,Biography,2004,"October 29, 2004 (United States)",7.7,141000.0,Taylor Hackford,Taylor Hackford,Jamie Foxx,United States,40000000.0,123971376.0,Universal Pictures,152.0
The Brothers Bloom,PG-13,Action,2008,"June 19, 2009 (United States)",6.8,49000.0,Rian Johnson,Rian Johnson,Rachel Weisz,United States,20000000.0,5530764.0,Endgame Entertainment,114.0
Detroit,R,Crime,2017,"August 4, 2017 (United States)",7.3,50000.0,Kathryn Bigelow,Mark Boal,John Boyega,United States,34000000.0,23355100.0,Annapurna Pictures,143.0
The Mangler,R,Horror,1995,"March 3, 1995 (United States)",4.3,8500.0,Tobe Hooper,Tobe Hooper,Robert Englund,South Africa,,1781383.0,Distant Horizon,106.0
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000.0,Roger Allers,Irene Mecchi,Matthew Broderick,United States,45000000.0,1083720877.0,Walt Disney Pictures,88.0
Buffy the Vampire Slayer,PG-13,Action,1992,"July 31, 1992 (United States)",5.7,41000.0,Fran Rubel Kuzui,Joss Whedon,Kristy Swanson,United States,7000000.0,16624456.0,Twentieth Century Fox,86.0
Last Holiday,PG-13,Comedy,2006,"January 13, 2006 (United States)",6.5,30000.0,Wayne Wang,Jeffrey Price,Queen Latifah,United States,45000000.0,43451846.0,Last Holiday Productions,112.0
The Seeker: the Dark Is Rising,PG,Adventure,2007,"October 5, 2007 (United States)",4.8,15000.0,David L. Cunningham,John Hodge,Alexander Ludwig,United States,45000000.0,31852619.0,Twentieth Century Fox,99.0
The November Man,R,Action,2014,"August 27, 2014 (United States)",6.3,65000.0,Roger Donaldson,Michael Finch,Pierce Brosnan,United States,15000000.0,39661919.0,Relativity Media,108.0
Original Sin,R,Drama,2001,"August 3, 2001 (United States)",6.1,55000.0,Michael Cristofer,Cornell Woolrich,Antonio Banderas,France,42000000.0,35402320.0,Metro-Goldwyn-Mayer (MGM),116.0
Dogville,R,Crime,2003,"April 23, 2004 (United States)",8.0,141000.0,Lars von Trier,Lars von Trier,Nicole Kidman,Denmark,10000000.0,16689283.0,Zentropa Entertainments,178.0
22 Jump Street,R,Action,2014,"June 13, 2014 (United States)",7.0,354000.0,Phil Lord,Michael Bacall,Channing Tatum,United States,50000000.0,331333876.0,Columbia Pictures,112.0
The Sacrifice,PG,Drama,1986,"May 9, 1986 (Sweden)",8.1,26000.0,Andrei Tarkovsky,Andrei Tarkovsky,Erland Josephson,Sweden,,167292.0,Svenska Filminstitutet (SFI),149.0
Electric Dreams,PG,Comedy,1984,"July 20, 1984 (United States)",6.5,7100.0,Steve Barron,Rusty Lemorande,Lenny von Dohlen,United States,,2193612.0,Virgin,95.0
Adore,R,Drama,2013,"April 3, 2013 (France)",6.2,33000.0,Anne Fontaine,Anne Fontaine,Naomi Watts,Australia,16000000.0,1575749.0,Gaumont,112.0
Addams Family Values,PG-13,Comedy,1993,"November 19, 1993 (United States)",6.8,84000.0,Barry Sonnenfeld,Charles Addams,Anjelica Huston,United States,47000000.0,48919043.0,Paramount Pictures,94.0
Clear and Present Danger,PG-13,Action,1994,"August 3, 1994 (United States)",6.9,93000.0,Phillip Noyce,Tom Clancy,Harrison Ford,United States,62000000.0,215887717.0,Mace Neufeld Productions,141.0
What We Do in the Shadows,R,Comedy,2014,"February 13, 2015 (United States)",7.7,164000.0,Jemaine Clement,Jemaine Clement,Jemaine Clement,New Zealand,1600000.0,7253160.0,Unison Films,86.0
Night Game,R,Crime,1989,"September 15, 1989 (United States)",4.9,710.0,Peter Masterson,Spencer Eastman,Roy Scheider,United States,,337812.0,Epic Productions,95.0
Romeo and Juliet,PG-13,Drama,2013,2013 (United States),5.8,11000.0,Carlo Carlei,Arthur Brooke,Hailee Steinfeld,United Kingdom,,2966268.0,Amber Entertainment,118.0
The Chronicles of Narnia: the Voyage of the Dawn Treader,PG,Adventure,2010,"December 10, 2010 (United States)",6.3,145000.0,Michael Apted,Christopher Markus,Ben Barnes,United States,155000000.0,415686217.0,Fox 2000 Pictures,113.0
Just Between Friends,PG-13,Drama,1986,"March 21, 1986 (United States)",5.9,735.0,Allan Burns,Allan Burns,Mary Tyler Moore,United States,,6408791.0,MTM Enterprises,110.0
Hesher,R,Drama,2010,"June 25, 2011 (Japan)",7.0,51000.0,Spencer Susser,Spencer Susser,Joseph Gordon-Levitt,United States,7000000.0,449702.0,The Last Picture Company,106.0
Prom Night II,R,Horror,1987,"October 16, 1987 (United States)",5.7,5600.0,Bruce Pittman,Ron Oliver,Lisa Schrage,Canada,,2683519.0,British Columbia Television,97.0
Jin ling shi san chai,R,Drama,2011,"December 16, 2011 (China)",7.6,51000.0,Yimou Zhang,Heng Liu,Christian Bale,China,94000000.0,2855644.0,Beijing New Picture Film,146.0
Mark Felt: The Man Who Brought Down the White House,PG-13,Biography,2017,"September 29, 2017 (United States)",6.4,12000.0,Peter Landesman,Mark Felt,Liam Neeson,United States,,4372130.0,Butler Pictures,103.0
The Secret Garden,G,Drama,1993,"August 13, 1993 (United States)",7.3,38000.0,Agnieszka Holland,Frances Hodgson Burnett,Kate Maberly,United Kingdom,18000000.0,31181347.0,Warner Bros.,101.0
High Spirits,PG-13,Comedy,1988,"November 18, 1988 (United States)",5.8,8900.0,Neil Jordan,Neil Jordan,Peter O'Toole,Ireland,17000000.0,8578231.0,Vision PDG,99.0
Dracula,R,Horror,1992,"November 13, 1992 (United States)",7.4,199000.0,Francis Ford Coppola,Bram Stoker,Gary Oldman,United Kingdom,40000000.0,215862692.0,American Zoetrope,128.0
Knock Off,R,Action,1998,"September 4, 1998 (United States)",4.9,14000.0,Hark Tsui,Steven E. de Souza,Jean-Claude Van Damme,Aruba,30000000.0,10319915.0,Knock Films A.V.V.,91.0
In the Land of Women,PG-13,Comedy,2007,"April 20, 2007 (United States)",6.4,31000.0,Jonathan Kasdan,Jonathan Kasdan,Adam Brody,United States,10000000.0,17562071.0,Castle Rock Entertainment,97.0
Here Come the Littles,G,Animation,1985,"May 24, 1985 (United States)",6.9,207.0,Bernard Deyriès,Heywood Kling,Jimmy Keegan,United States,,6565359.0,ABC Entertainment,72.0
Ferdinand,PG,Animation,2017,"December 15, 2017 (United States)",6.7,51000.0,Carlos Saldanha,Robert L. Baird,John Cena,United States,111000000.0,296069199.0,Blue Sky Studios,108.0
The Pink Panther 2,PG,Action,2009,"February 6, 2009 (United States)",5.6,43000.0,Harald Zwart,Scott Neustadter,Steve Martin,United States,70000000.0,76025134.0,Metro-Goldwyn-Mayer (MGM),92.0
Hell Ride,R,Action,2008,"January 17, 2009 (Japan)",5.1,15000.0,Larry Bishop,Larry Bishop,Larry Bishop,United States,,390128.0,Dimension Films,84.0
Only You,PG,Comedy,1994,"October 7, 1994 (United States)",6.5,21000.0,Norman Jewison,Diane Drake,Marisa Tomei,United States,,20059210.0,TriStar Pictures,109.0
The Forest,PG-13,Horror,2016,"January 8, 2016 (United States)",4.8,41000.0,Jason Zada,Nick Antosca,Natalie Dormer,United States,10000000.0,39712000.0,AI-Film,93.0
The Amazing Panda Adventure,PG,Adventure,1995,"August 25, 1995 (United States)",5.8,3900.0,Christopher Cain,John Wilcox,Stephen Lang,United States,,7506759.0,Lee Rich Productions,84.0
Gorky Park,R,Crime,1983,"December 16, 1983 (United States)",6.7,13000.0,Michael Apted,Martin Cruz Smith,William Hurt,United States,15000000.0,15856028.0,Eagle Associates.,128.0
Auto Focus,R,Biography,2002,"November 1, 2002 (United States)",6.6,13000.0,Paul Schrader,Robert Graysmith,Greg Kinnear,United States,7000000.0,2704951.0,Focus Puller Inc.,105.0
The Object of My Affection,R,Comedy,1998,"April 17, 1998 (United States)",6.0,19000.0,Nicholas Hytner,Stephen McCauley,Jennifer Aniston,United States,15000000.0,46905889.0,Twentieth Century Fox,111.0
In Her Shoes,PG-13,Comedy,2005,"October 7, 2005 (United States)",6.4,60000.0,Curtis Hanson,Jennifer Weiner,Toni Collette,United States,,83697473.0,Fox 2000 Pictures,130.0
Stand Up Guys,R,Comedy,2012,"February 1, 2013 (United States)",6.5,54000.0,Fisher Stevens,Noah Haidle,Al Pacino,United States,15000000.0,5072654.0,Lionsgate,95.0
The Equalizer 2,R,Action,2018,"July 20, 2018 (United States)",6.7,141000.0,Antoine Fuqua,Richard Wenk,Denzel Washington,United States,62000000.0,190400157.0,Columbia Pictures,121.0
A Christmas Story,PG,Comedy,1983,"November 18, 1983 (United States)",7.9,134000.0,Bob Clark,Jean Shepherd,Peter Billingsley,United States,3300000.0,20653717.0,Metro-Goldwyn-Mayer (MGM),93.0
Cadillac Man,R,Comedy,1990,"May 18, 1990 (United States)",5.7,14000.0,Roger Donaldson,Ken Friedman,Robin Williams,United States,,27627310.0,Orion Pictures,97.0
Crackers,PG,Adventure,1984,"February 17, 1984 (United States)",5.2,1200.0,Louis Malle,Jeffrey Alan Fiskin,Donald Sutherland,United States,12000000.0,129268.0,Universal Pictures,91.0
When a Man Loves a Woman,R,Drama,1994,"May 13, 1994 (United States)",6.6,21000.0,Luis Mandoki,Ronald Bass,Meg Ryan,United States,,50021959.0,Touchstone Pictures,126.0
Young Warriors,R,Action,1983,"August 28, 1983 (United States)",4.7,460.0,Lawrence David Foldes,Russell W. Colgin,Ernest Borgnine,United States,,,Star Cinema,105.0
Running on Empty,PG-13,Crime,1988,"September 9, 1988 (United States)",7.7,15000.0,Sidney Lumet,Naomi Foner,River Phoenix,United States,7000000.0,2847941.0,Double Play,116.0
Little Odessa,R,Crime,1994,"May 19, 1995 (United States)",6.7,7600.0,James Gray,James Gray,Tim Roth,United States,2300000.0,1095885.0,Fine Line Features,98.0
Strange Magic,PG,Animation,2015,"January 23, 2015 (United States)",5.8,10000.0,Gary Rydstrom,David Berenbaum,Evan Rachel Wood,United States,,13603453.0,Buena Vista Negative Cutting,99.0
Goal! The Dream Begins,PG,Adventure,2005,"May 12, 2006 (United States)",6.7,61000.0,Danny Cannon,Mike Jefferies,Kuno Becker,United States,10000000.0,27610873.0,Milkshake Films,118.0
The Bear,PG,Adventure,1988,"October 27, 1989 (United States)",7.7,17000.0,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,France,,31753898.0,Price,96.0
Let Me In,R,Drama,2010,"October 1, 2010 (United States)",7.1,115000.0,Matt Reeves,Matt Reeves,Kodi Smit-McPhee,United Kingdom,20000000.0,27093592.0,Overture Films,116.0
Spider-Man 2,PG-13,Action,2004,"June 30, 2004 (United States)",7.3,559000.0,Sam Raimi,Stan Lee,Tobey Maguire,United States,200000000.0,788976453.0,Columbia Pictures,127.0
47 Ronin,PG-13,Action,2013,"December 25, 2013 (United States)",6.3,152000.0,Carl Rinsch,Chris Morgan,Keanu Reeves,United States,175000000.0,151783839.0,Bluegrass Films,128.0
Jude,R,Drama,1996,"October 18, 1996 (United States)",6.9,10000.0,Michael Winterbottom,Hossein Amini,Christopher Eccleston,United Kingdom,7000000.0,409144.0,BBC Films,123.0
Manhunter,R,Crime,1986,"August 15, 1986 (United States)",7.2,68000.0,Michael Mann,Thomas Harris,William Petersen,United States,15000000.0,8621783.0,De Laurentiis Entertainment Group (DEG),120.0
Patty Hearst,R,Biography,1988,"September 23, 1988 (United States)",6.3,1700.0,Paul Schrader,Patricia Hearst,Natasha Richardson,United Kingdom,,1223326.0,Atlantic Entertainment Group,108.0
Fright Night,R,Comedy,2011,"August 19, 2011 (United States)",6.4,101000.0,Craig Gillespie,Marti Noxon,Anton Yelchin,United States,30000000.0,41002607.0,Dreamworks Pictures,106.0
Stir of Echoes,R,Horror,1999,"September 10, 1999 (United States)",7.0,77000.0,David Koepp,Richard Matheson,Kevin Bacon,United States,12000000.0,21142914.0,Artisan Entertainment,99.0
My Father's Glory,G,Adventure,1990,August 1991 (United States),7.6,6200.0,Yves Robert,Louis Nucéra,Philippe Caubère,France,,1730856.0,Gaumont,105.0
Highlander: The Final Dimension,PG-13,Action,1994,"January 27, 1995 (United States)",4.5,20000.0,Andrew Morahan,Gregory Widen,Christopher Lambert,United Kingdom,26000000.0,12303080.0,Fallingcloud,99.0
Beowulf & Grendel,R,Action,2005,"March 9, 2006 (Thailand)",5.8,18000.0,Sturla Gunnarsson,Anonymous,Hringur Ingvarsson,Canada,,92076.0,Movision,103.0
Broken City,R,Action,2013,"January 18, 2013 (United States)",6.2,78000.0,Allen Hughes,Brian Tucker,Mark Wahlberg,United States,35000000.0,34737199.0,Emmett/Furla/Oasis Films (EFO Films),109.0
Poison,Unrated,Drama,1991,"August 16, 1991 (Sweden)",6.4,4100.0,Todd Haynes,Jean Genet,Edith Meeks,United States,250000.0,787280.0,Bronze Eye Productions,85.0
The Night the Lights Went Out in Georgia,PG,Drama,1981,"June 5, 1981 (United States)",6.0,891.0,Ron Maxwell,Bob Bonney,Kristy McNichol,United States,,14923752.0,Viacom Enterprises,112.0
Fear of a Black Hat,R,Comedy,1993,"June 3, 1994 (United States)",7.2,3900.0,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,United States,999999.0,233824.0,Incorporated Television Company (ITC),88.0
Everest,PG-13,Action,2015,"September 25, 2015 (United States)",7.1,205000.0,Baltasar Kormákur,William Nicholson,Jason Clarke,United Kingdom,55000000.0,203427584.0,Working Title Films,121.0
Low Blow,R,Action,1986,April 1986 (United States),4.0,437.0,Frank Harris,Leo Fong,Leo Fong,United States,,,Action Communications,90.0
Wicker Park,PG-13,Drama,2004,"September 3, 2004 (United States)",7.0,53000.0,Paul McGuigan,Gilles Mimouni,Josh Hartnett,United States,30000000.0,21741598.0,Metro-Goldwyn-Mayer (MGM),114.0
Gemini Man,PG-13,Action,2019,"October 11, 2019 (United States)",5.7,98000.0,Ang Lee,David Benioff,Will Smith,China,138000000.0,173469516.0,Skydance Media,117.0
Mallrats,R,Comedy,1995,"October 20, 1995 (United States)",7.1,118000.0,Kevin Smith,Kevin Smith,Shannen Doherty,United States,8000000.0,2122561.0,Gramercy Pictures (I),94.0
Aquaman,PG-13,Action,2018,"December 21, 2018 (United States)",6.9,404000.0,James Wan,David Leslie Johnson-McGoldrick,Jason Momoa,United States,160000000.0,1148485886.0,Warner Bros.,143.0
How to Be a Latin Lover,PG-13,Comedy,2017,"April 28, 2017 (United States)",6.0,15000.0,Ken Marino,Jon Zack,Eugenio Derbez,Mexico,10000000.0,62547032.0,Pantelion Films,115.0
Bad Samaritan,R,Crime,2018,"May 4, 2018 (United States)",6.5,21000.0,Dean Devlin,Brandon Boyce,David Tennant,United States,,4623836.0,Electric Entertainment,110.0
Poolhall Junkies,R,Comedy,2002,"February 28, 2003 (United States)",6.9,9700.0,Mars Callahan,Mars Callahan,Mars Callahan,United States,4000000.0,563711.0,Gold Circle Films,99.0
Need for Speed,PG-13,Action,2014,"March 14, 2014 (United States)",6.4,165000.0,Scott Waugh,George Gatins,Aaron Paul,United States,66000000.0,203277636.0,Dreamworks Pictures,132.0
Little Women,PG,Drama,2019,"December 25, 2019 (United States)",7.8,159000.0,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,40000000.0,216601214.0,Columbia Pictures,135.0
Lords of Chaos,R,Biography,2018,"February 8, 2019 (United States)",6.6,13000.0,Jonas Åkerlund,Dennis Magnusson,Rory Culkin,United Kingdom,,365353.0,Proton Cinema,118.0
Moscow Does Not Believe in Tears,PG,Comedy,1980,"February 11, 1980 (Soviet Union)",8.1,12000.0,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Soviet Union,900000.0,,Mosfilm,150.0
Nymphomaniac: Vol. I,Not Rated,Drama,2013,"March 6, 2014 (United States)",6.9,119000.0,Lars von Trier,Lars von Trier,Charlotte Gainsbourg,Denmark,,13551156.0,Zentropa Entertainments,117.0
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,"April 6, 1983 (France)",7.2,4200.0,Robert Altman,Ed Graczyk,Cher,United States,850000.0,840958.0,Sandcastle 5 Productions,109.0
Flight of the Navigator,PG,Adventure,1986,"August 1, 1986 (United States)",6.9,45000.0,Randal Kleiser,Mark H. Baker,Joey Cramer,United States,9000000.0,18564613.0,Walt Disney Pictures,90.0
La La Land,PG-13,Comedy,2016,"December 25, 2016 (United States)",8.0,527000.0,Damien Chazelle,Damien Chazelle,Ryan Gosling,United States,30000000.0,448906865.0,Summit Entertainment,128.0
Killers,PG-13,Action,2010,"June 4, 2010 (United States)",5.5,89000.0,Robert Luketic,Bob DeRosa,Katherine Heigl,United States,75000000.0,98159963.0,Lionsgate,100.0
Stryker,R,Action,1983,"September 2, 1983 (United States)",4.3,617.0,Cirio H. Santiago,Howard R. Cohen,Steve Sandor,Philippines,,1723487.0,Cinema Vehicle Services,86.0
White Sands,R,Action,1992,"April 24, 1992 (United States)",6.0,7300.0,Roger Donaldson,Daniel Pyne,Willem Dafoe,United States,22000000.0,9011574.0,Morgan Creek Entertainment,101.0
License to Wed,PG-13,Comedy,2007,"July 3, 2007 (United States)",5.3,38000.0,Ken Kwapis,Kim Barker,Mandy Moore,United States,35000000.0,70181325.0,Warner Bros.,91.0
Twin Dragons,PG-13,Action,1992,"April 9, 1999 (United States)",6.5,11000.0,Ringo Lam,Barry Wong,Jackie Chan,Hong Kong,10000000.0,8359717.0,Golden Way Films Ltd.,104.0
Let the Right One In,R,Crime,2008,"December 12, 2008 (United States)",7.9,208000.0,Tomas Alfredson,John Ajvide Lindqvist,Kåre Hedebrant,Sweden,4000000.0,11227336.0,EFTI,114.0
The State of Things,,Drama,1982,"February 18, 1983 (United States)",7.0,3000.0,Wim Wenders,Robert Kramer,Allen Garfield,West Germany,,3700.0,Gray City,121.0
Super 30,Not Rated,Biography,2019,"July 12, 2019 (United States)",8.0,24000.0,Vikas Bahl,Sanjeev Dutta,Hrithik Roshan,India,,24701637.0,Film Poland Productions,154.0
Yellowbeard,PG,Action,1983,"June 24, 1983 (United States)",6.0,7500.0,Mel Damski,Graham Chapman,Graham Chapman,United Kingdom,6500000.0,4300000.0,Seagoat Films,96.0
All Dogs Go to Heaven 2,G,Animation,1996,"March 29, 1996 (United States)",5.5,5700.0,Larry Leker,Arne Olsen,Charlie Sheen,United States,,8620678.0,MGM Family Entertainment,82.0
Eagle Eye,PG-13,Action,2008,"September 26, 2008 (United States)",6.6,180000.0,D.J. Caruso,John Glenn,Shia LaBeouf,United States,80000000.0,178767383.0,Dreamworks Pictures,118.0
The Captain,,Drama,2017,"July 27, 2018 (United States)",7.4,15000.0,Robert Schwentke,Robert Schwentke,Max Hubacher,Germany,,1196669.0,Filmgalerie 451,118.0
My Life as a Dog,Unrated,Drama,1985,"May 1, 1987 (United States)",7.6,19000.0,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,Sweden,,8349284.0,Svensk Filmindustri (SF),101.0
Con Air,R,Action,1997,"June 6, 1997 (United States)",6.9,282000.0,Simon West,Scott Rosenberg,Nicolas Cage,United States,75000000.0,224012234.0,Touchstone Pictures,115.0
The Matrix Reloaded,R,Action,2003,"May 15, 2003 (United States)",7.2,529000.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,United States,150000000.0,741847937.0,Warner Bros.,138.0
Gardens of Stone,R,Drama,1987,"May 8, 1987 (United States)",6.4,5200.0,Francis Ford Coppola,Nicholas Proffitt,James Caan,United States,,5262047.0,TriStar Pictures,111.0
Three... Extremes,R,Horror,2004,"August 20, 2004 (South Korea)",7.0,19000.0,Fruit Chan,Park Chan-Wook,Bai Ling,Hong Kong,,516930.0,Applause Pictures,125.0
Major League II,PG,Comedy,1994,"March 30, 1994 (United States)",5.6,25000.0,David S. Ward,David S. Ward,Charlie Sheen,United States,25000000.0,30626182.0,Warner Bros.,105.0
Steel Dawn,R,Action,1987,"March 31, 1988 (South Africa)",5.1,4700.0,Lance Hool,Doug Lefler,Patrick Swayze,United States,3520000.0,562187.0,Independent Film Centre,100.0
A Most Wanted Man,R,Crime,2014,"August 1, 2014 (United States)",6.8,74000.0,Anton Corbijn,Andrew Bovell,Philip Seymour Hoffman,United Kingdom,15000000.0,36233517.0,Lionsgate,122.0
The Hangover Part III,R,Comedy,2013,"May 23, 2013 (United States)",5.8,299000.0,Todd Phillips,Todd Phillips,Bradley Cooper,United States,103000000.0,362000072.0,Green Hat Films,100.0
The Apparition,PG-13,Horror,2012,"August 24, 2012 (United States)",4.1,19000.0,Todd Lincoln,Todd Lincoln,Ashley Greene,United States,17000000.0,11350665.0,Warner Bros.,82.0
Lookin' to Get Out,R,Comedy,1982,"June 30, 1983 (Australia)",5.1,684.0,Hal Ashby,Al Schwartz,Jon Voight,United States,17000000.0,946461.0,Lorimar Productions,105.0
Spriggan,R,Animation,1998,"September 5, 1998 (Japan)",6.6,3600.0,Hirotsugu Kawasaki,Yasutaka Itô,Shôtarô Morikubo,Japan,,25824.0,Bandai Visual Company,90.0
The Babadook,Not Rated,Drama,2014,"November 28, 2014 (United States)",6.8,203000.0,Jennifer Kent,Jennifer Kent,Essie Davis,Australia,2000000.0,10312540.0,Screen Australia,94.0
Petit Con,R,Comedy,1984,"April 19, 1985 (United States)",6.2,105.0,Gérard Lauzier,Gérard Lauzier,Guy Marchand,France,,127426.0,Gaumont International,90.0
Walk Hard: the Dewey Cox Story,R,Comedy,2007,"December 21, 2007 (United States)",6.8,69000.0,Jake Kasdan,Judd Apatow,John C. Reilly,United States,35000000.0,20576198.0,Apatow Productions,96.0
Edge of Seventeen,Not Rated,Comedy,1998,"April 20, 2000 (Australia)",6.8,6000.0,David Moreton,Todd Stephens,Chris Stafford,United States,700000.0,871759.0,Blue Streak Films,99.0
Zoom,PG,Action,2006,"August 11, 2006 (United States)",4.4,19000.0,Peter Hewitt,Adam Rifkin,Tim Allen,United States,35000000.0,12506362.0,Revolution Studios,83.0
Most Wanted,R,Action,1997,"October 10, 1997 (United States)",5.6,5700.0,David Hogan,Keenen Ivory Wayans,Keenen Ivory Wayans,United States,25000000.0,11838218.0,Ivory Way Productions,99.0
Gossip,R,Drama,2000,"April 21, 2000 (United States)",5.9,15000.0,Davis Guggenheim,Gregory Poirier,James Marsden,United States,24000000.0,12591270.0,NPV Entertainment,90.0
The Mexican,R,Adventure,2001,"March 2, 2001 (United States)",6.1,105000.0,Gore Verbinski,J.H. Wyman,Brad Pitt,United States,57000000.0,147845033.0,Dreamworks Pictures,123.0
An Interview with God,Unrated,Drama,2018,"August 21, 2018 (United States)",5.8,3400.0,Perry Lang,Ken Aguado,David Strathairn,United States,,2251795.0,Astute Films,97.0
Needful Things,R,Crime,1993,"August 27, 1993 (United States)",6.3,24000.0,Fraser C. Heston,Stephen King,Max von Sydow,United States,,15185672.0,Castle Rock Entertainment,120.0
Touch and Go,R,Comedy,1986,"August 22, 1986 (United States)",5.7,818.0,Robert Mandel,Alan Ormsby,Michael Keaton,United States,,1254040.0,Kings Road Entertainment,101.0
Ghost Dad,PG,Comedy,1990,"June 29, 1990 (United States)",4.4,7500.0,Sidney Poitier,Brent Maddock,Bill Cosby,United States,,25421633.0,Universal Pictures,83.0
Jigsaw,R,Crime,2017,"October 27, 2017 (United States)",5.8,73000.0,Michael Spierig,Josh Stolberg,Matt Passmore,Canada,10000000.0,102952888.0,Twisted Pictures,92.0
Babylon,,Drama,1980,November 1980 (United Kingdom),7.4,1300.0,Franco Rosso,Franco Rosso,David N. Haynes,United Kingdom,,109749.0,Diversity Music,95.0
The Motorcycle Diaries,R,Adventure,2004,"October 15, 2004 (United States)",7.8,98000.0,Walter Salles,Ernesto 'Che' Guevara,Gael García Bernal,Argentina,,57663711.0,FilmFour,126.0
The Room,R,Drama,2003,"June 27, 2003 (Italy)",3.7,84000.0,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,United States,6000000.0,4988181.0,Wiseau-Films,99.0
Three Men and a Baby,PG,Comedy,1987,"November 25, 1987 (United States)",6.1,50000.0,Leonard Nimoy,Coline Serreau,Tom Selleck,United States,11000000.0,167780960.0,Touchstone Pictures,102.0
Halloween II,R,Horror,2009,"August 28, 2009 (United States)",4.8,50000.0,Rob Zombie,Rob Zombie,Scout Taylor-Compton,United States,15000000.0,39421467.0,Dimension Films,105.0
Basic Instinct,R,Drama,1992,"March 20, 1992 (United States)",7.0,186000.0,Paul Verhoeven,Joe Eszterhas,Michael Douglas,United States,49000000.0,352927224.0,Carolco Pictures,127.0
The World According to Garp,R,Comedy,1982,"July 23, 1982 (United States)",7.2,25000.0,George Roy Hill,John Irving,Robin Williams,United States,17000000.0,29712172.0,Pan Arts,136.0
The Bostonians,Not Rated,Drama,1984,"October 5, 1984 (United Kingdom)",6.3,1800.0,James Ivory,Henry James,Christopher Reeve,United Kingdom,,1009700.0,Merchant Ivory Productions,122.0
The Insider,R,Biography,1999,"November 5, 1999 (United States)",7.8,163000.0,Michael Mann,Marie Brenner,Russell Crowe,United States,90000000.0,60289912.0,Touchstone Pictures,157.0
Enough Said,PG-13,Comedy,2013,"October 11, 2013 (United States)",7.0,60000.0,Nicole Holofcener,Nicole Holofcener,Julia Louis-Dreyfus,United States,8000000.0,25288872.0,Fox Searchlight Pictures,93.0
Just Visiting,PG-13,Adventure,2001,"April 6, 2001 (United States)",5.8,18000.0,Jean-Marie Poiré,Jean-Marie Poiré,Jean Reno,France,35000000.0,16176732.0,Gaumont,88.0
